PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Direction,Activity Qualifier,Qualified AC50,Log of AC50,Hill Coefficient,Curve R2,Data Type,Compound Type,Compound QC,Data Analysis QC,NCGC Comment,Curve Fit Model,Hill S0,Hill Sinf,Hill dS,Log AC50 Std Error,Curve Chi2f,Excluded Points,Number of Points,Activity at 0.732nM,Activity at 1.636nM,Activity at 3.658nM,Activity at 8.18nM,Activity at 18.291nM,Activity at 0.041uM,Activity at 0.091uM,Activity at 0.204uM,Activity at 0.457uM,Activity at 1.022uM,Activity at 2.286uM,Activity at 5.111uM,Activity at 11.429uM,Activity at 25.556uM,Activity at 0.057mM
8,4237524,3232637,C1=CC=C(C=C1)NC2=NC(=NC3=CC=CC=C32)C4=COC=C4,Active,67,,,decreasing,=,2e-07,-6.7,1.22,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",3.4,-122,125.4,,,0 0 0 0 0 0 0,,,,-0.7,,-1.7,,-30.2,,-86.6,,-114.6,,-121.4,,-123.7
9,4238767,3233876,CC1=C(C(=NO1)C)C2=NC3=CC=CC=C3C(=N2)N4CCOCC4,Active,65,,,decreasing,=,3.16e-07,-6.5,1.22,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-3.7,-122.5,118.8,,,0 0 0 0 0 0 0,,,,-8.5,,-3.6,,-24.4,,-75.7,,-112.2,,-120.5,,-123.6
10,4238398,3233508,COC1=CC=CC(=C1)C2=CC3=C(C=C2)N=CN=C3N4CCNCC4,Active,61,,,decreasing,=,7.94e-07,-6.1,1.1,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-5.2,-122.8,117.5,,,0 0 0 0 0 0 0,,,,-8.8,,-2.3,,-17.6,,-44.2,,-96,,-115,,-123.5
11,4239927,3235034,CN(C)C1=CC=C(C=C1)C2=NC=CC(=N2)NCC3=CC=CC=C3OC,Active,61,,,decreasing,=,7.94e-07,-6.1,0.9,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",3.8,-126.2,130,,,0 0 0 0 0 0 0,,,,1.8,,2.2,,-16.2,,-42.7,,-90.7,,-115.9,,-123.5
12,4238855,3233963,CC1=CC=CC=C1C2=CC3=C(C=C2)N=CN=C3NCCNC(=O)C,Active,62,,,decreasing,=,6.31e-07,-6.2,0.8,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",0.9,-126,126.9,,,0 0 0 0 0 0 0,,,,-1.3,,-6.2,,-22.3,,-51.4,,-93.1,,-114.4,,-123.3
13,8142900,5459519,COC1=CC2=CC3=C(C4=CC=CC=C4C3)N=C2C=C1,Active,66,,,decreasing,=,2.51e-07,-6.6,1.48,1,qHTS Primary,qHTS ECL - UPCMLD,QC'd byUPCMLD,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-2,-122.8,120.8,,,0 0 0 0 0 0,,,,,,-6.5,,-22.2,,-85.4,,-119.2,,-121.9,,-123.2
14,4237832,3232945,CC1=C(C(=NO1)C)C2=CC3=C(C=C2)N=CN=C3N(C)C,Active,62,,,decreasing,=,6.31e-07,-6.2,1,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",2.5,-124,126.5,,,0 0 0 0 0 0 0,,,,2.3,,-2.3,,-14.8,,-48.2,,-97.6,,-116.6,,-123.2
15,4239558,3234665,CN(C)C1=NC=NC2=C1C=C(C=C2)C3=CC=CC=C3C#N,Active,64,,,decreasing,=,3.98e-07,-6.4,1.51,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-17.8,-121.7,103.9,,,0 0 0 0 0 0 0,,,,-21.7,,-12.6,,-30.5,,-76.3,,-115.1,,-118.1,,-123.1
16,4238960,3234067,CS(=O)(=O)NC1=CC=CC(=C1)C2=NC3=CC=CC=C3C(=N2)NC4=CC=C(C=C4)F,Active,61,,,decreasing,=,7.94e-07,-6.1,1.1,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",0,-122.8,122.8,,,0 0 0 0 0 0 0,,,,-4.1,,1.7,,-7.7,,-46.5,,-91.5,,-116.2,,-123.1
17,4239789,3234896,CN(C)C1=NC=NC(=C1)C2=CC(=CC=C2)NS(=O)(=O)C,Active,59,,,decreasing,=,1.26e-06,-5.9,1.25,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",0,-120,120,,,0 0 0 0 0 0 0,,,,-4.9,,5.4,,-6.9,,-24.5,,-80.2,,-110.1,,-123
18,4237759,3232872,COC1=CC2=C(C=C1)NC=C2CCNC3=NC=NC(=C3)C4=CC=CC=C4Cl,Active,58,,,decreasing,=,1.58e-06,-5.8,1,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-6.8,-128.7,121.9,,,0 0 0 0 0 0 0,,,,-4.7,,-6,,-19.3,,-31.4,,-81.1,,-114.6,,-123
19,4239528,3234635,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=CC=C3Cl)N4C=CN=C4,Active,68,,,decreasing,=,1.58e-07,-6.8,1.11,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-4,-122.9,118.8,,,0 0 0 0 0 0 0,,,,-3.4,,-17.1,,-44.2,,-96.8,,-116.9,,-121.1,,-122.8
20,4239797,3234904,C1COCCN1C2=NC=NC3=C2C=C(C=C3)C4=CC=CC=C4C(F)(F)F,Active,66,,,decreasing,=,2.51e-07,-6.6,1.34,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",0.6,-119,119.6,,,0 0 0 0 0 0 0,,,,-4.7,,0.6,,-23.5,,-80.1,,-110.7,,-117.8,,-122.8
21,8142810,5459430,CCC1CC2=C(C3=C(C=CC(=C3)OC)N=C2O1)CC,Active,64,,,decreasing,=,3.98e-07,-6.4,1.66,1,qHTS Primary,qHTS ECL - UPCMLD,QC'd byUPCMLD,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-16.3,-121.4,105.1,,,0 0 0 0 0 0,,,,,,-16.6,,-24.1,,-75.5,,-114.4,,-121,,-122.8
22,4240063,3235170,CN(C)C1=NC=NC2=C1C=C(C=C2)C3=CC=CC=C3OC,Active,59,,,decreasing,=,1.26e-06,-5.9,1.25,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",0,-124.8,124.8,,,0 0 0 0 0 0 0,,,,2.5,,0.4,,-9,,-26,,-85.3,,-118.1,,-122.8
23,4240059,3235166,CN(CC1=CC=CO1)C2=NC=NC3=C2C=C(C=C3)C4=CC=CC=C4Cl,Active,57,,,decreasing,=,2e-06,-5.7,0.9,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-2.9,-135.6,132.6,,,0 0 0 0 0 0 0,,,,-2.4,,-0.9,,-20.4,,-25.1,,-73.7,,-114.3,,-122.6
24,4239751,3234858,CN(CC1=CC=CO1)C2=NC=NC(=C2)C3=CN=CC=C3,Active,65,,,decreasing,=,3.16e-07,-6.5,0.8,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",1,-124.4,125.4,,,0 0 0 0 0 0 0,,,,-3.6,,-10.6,,-31,,-69.5,,-103.9,,-117.9,,-122.5
25,4239983,3235090,COCCNC1=NC(=NC2=CC=CC=C21)C3=CC(=CC=C3)OC,Active,67,,,decreasing,=,2e-07,-6.7,1.37,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-6.1,-121.1,115.1,,,0 0 0 0 0 0 0,,,,-7.9,,-8.4,,-35.9,,-93.2,,-115.9,,-120.6,,-122.4
26,4239757,3234864,C1=CSC(=C1)CNC2=NC(=NC=C2)C3=COC=C3,Active,60,,,decreasing,=,1e-06,-6,1.48,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",2.5,-121.2,123.7,,,0 0 0 0 0 0 0,,,,-1.5,,1.8,,1.5,,-26.2,,-92,,-117.1,,-122.2
27,11111058,3101,C1=CC=C2C(=C1)C3=CC=CC=C3[I+]2,Active,69,,,decreasing,=,1.26e-07,-6.9,1,0.99,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",4,-120.8,124.8,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,9.6,-6,1.8,-3.9,-18,-21.9,-43.5,-76.7,-95.2,-106.8,-113.6,-117.2,-119.1,-120.7,-122.1
28,4239728,3234835,C1=CC=C(C=C1)CNC2=NC(=NC3=CC=CC=C32)C4=CC=CC(=C4)C#N,Active,64,,,decreasing,=,3.98e-07,-6.4,1,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-4.8,-123.6,118.7,,,0 0 0 0 0 0 0,,,,-7.4,,-4.5,,-32.3,,-67.9,,-107.5,,-119.1,,-122.1
29,4238785,3233894,CN(C)C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=N2)N4C=CN=C4,Active,65,,,decreasing,=,3.16e-07,-6.5,1.21,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-2.5,-119.9,117.5,,,0 0 0 0 0 0 0,,,,-9,,0.7,,-25.1,,-75,,-107.1,,-118,,-121.9
30,4240057,3235164,C1CC1NC2=NC(=NC3=CC=CC=C32)C4=COC=C4,Active,65,,,decreasing,=,3.16e-07,-6.5,1.1,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-1.9,-122.4,120.5,,,0 0 0 0 0 0 0,,,,-4.8,,-3,,-28.2,,-75,,-110.6,,-118.8,,-121.8
31,4238116,3233227,C1OC2=C(O1)C=C(C=C2)C3=CN=CN=C3NC4=CC=CC=C4,Active,65,,,decreasing,=,3.16e-07,-6.5,1,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-4.5,-120.6,116.1,,,0 0 0 0 0 0 0,,,,-7.6,,-9,,-30.1,,-73.3,,-105.1,,-118.1,,-121.4
32,4238275,3233386,CC1=C(C(=NO1)C)C2=NC=CC(=N2)NC,Active,59,,,decreasing,=,1.26e-06,-5.9,1.1,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-2.6,-121.4,118.9,,,0 0 0 0 0 0 0,,,,-8.2,,-0.1,,-4.3,,-34.2,,-81.3,,-110,,-121.4
33,4240047,3235154,COC1=CC=CC=C1CNC2=NC=NC=C2C3=CN=CC=C3,Active,61,,,decreasing,=,7.94e-07,-6.1,0.8,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",5.1,-125.8,130.9,,,0 0 0 0 0 0 0,,,,5.4,,-3.2,,-17.2,,-42.7,,-88.8,,-112.4,,-121.2
34,4237474,3232587,COC1=CC=CC=C1C2=NC3=CC=CC=C3C(=N2)NCC4=CC=CC=C4,Active,64,,,decreasing,=,3.98e-07,-6.4,0.8,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-2.4,-119.9,117.5,,,0 0 0 0 0 0 0,,,,-9.4,,-6.3,,-30.8,,-65.4,,-93.3,,-112.2,,-120.9
35,4240235,3235341,CC1=CC(=CC=C1)CNC2=NC(=NC=C2)C3=CC(=CC=C3)NS(=O)(=O)C,Active,57,,,decreasing,=,2e-06,-5.7,1.1,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",0,-126.2,126.2,,,0 0 0 0 0 0 0,,,,-5.7,,8,,-6.8,,-18.8,,-71,,-108,,-120.7
36,4238714,3233823,CN(C)C1=CC=C(C=C1)C2=NC=CC(=N2)NCC3=CC=CC=C3,Active,59,,,decreasing,=,1.26e-06,-5.9,0.9,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",1.8,-126.4,128.2,,,0 0 0 0 0 0 0,,,,-0.1,,1.6,,-9.7,,-36.9,,-78.4,,-112.7,,-120.6
37,4239644,3234751,CC1=CN=C(C=N1)CNC2=NC=NC=C2C3=CC=CC=C3C#N,Active,66,,,decreasing,=,2.51e-07,-6.6,0.8,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-1.4,-121.6,120.2,,,0 0 0 0 0 0 0,,,,-8.2,,-9.7,,-41.4,,-75.3,,-102.9,,-115.8,,-120.5
38,4238195,3233306,CS(=O)(=O)NC1=CC=CC(=C1)C2=CC3=C(C=C2)N=CN=C3NC4=CC=C(C=C4)F,Active,61,,,decreasing,=,7.94e-07,-6.1,0.9,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-2.6,-123.5,120.8,,,0 0 0 0 0 0 0,,,,-5.8,,-3.2,,-18.4,,-49.2,,-89.8,,-113.2,,-120.5
39,4239077,3234184,C1=CC=C(C(=C1)C2=CC3=C(C=C2)N=CN=C3NCC4=CN=CC=C4)Cl,Active,68,,,decreasing,=,1.58e-07,-6.8,1,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-2.4,-119.9,117.5,,,0 0 0 0 0 0 0,,,,-3.5,,-17.1,,-44.8,,-90.6,,-111.8,,-117.7,,-120.4
40,4240229,3235335,C1=CC(=CC(=C1)C2=NC=CC(=N2)NCC3=CN=CC=C3)C#N,Active,66,,,decreasing,=,2.51e-07,-6.6,1.25,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",3.7,-119.8,123.5,,,0 0 0 0 0 0 0,,,,2.3,,1.7,,-25.6,,-81.8,,-111.5,,-117.9,,-120.3
41,4238450,3233560,COC1=NC=C2C(=N1)N(C(=O)C(=N2)C3=CC=CC=C3)C4CC4,Active,59,,,decreasing,=,1.26e-06,-5.9,1.25,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",0.6,-119.1,119.8,,,0 0 0 0 0 0,,,,2.7,,,,-6.8,,-24,,-82.5,,-108.6,,-120.3
42,4239813,3234920,COCCN1C2=NC=NC=C2N=C(C1=O)C3=CC=C(C=C3)F,Active,63,,,decreasing,=,5.01e-07,-6.3,1,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-3.3,-121.9,118.6,,,0 0 0 0 0 0,,,,-2.8,,,,-22.7,,-62.1,,-100.7,,-116.2,,-120.2
43,4239850,3234957,CC1=CC(=CC=C1)CNC2=NC=NC(=C2)C3=CC=C(C=C3)N(C)C,Active,60,,,decreasing,=,1e-06,-6,1.21,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-3.7,-121.3,117.6,,,0 0 0 0 0 0 0,,,,-7.4,,3.7,,-14.8,,-35.7,,-92,,-114.2,,-120.2
44,4238509,3233619,C1=CC(=CC=C1NC2=NC=NC=C2C3=COC=C3)F,Active,65,,,decreasing,=,3.16e-07,-6.5,1.25,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",1.9,-118.7,120.6,,,0 0 0 0 0 0 0,,,,-3.5,,7,,-21.8,,-74.6,,-107.5,,-116.5,,-120.1
45,4238654,3233763,COC1=NC=C2C(=N1)N(C(=O)C(=N2)C3=CC=C(C=C3)Cl)C[C@H]4CCCO4,Active,63,,,decreasing,=,5.01e-07,-6.3,1,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",1.4,-120.4,121.8,,,0 0 0 0 0 0,,,,-1.3,,,,-16.9,,-54.7,,-99.4,,-114.8,,-120.1
46,4238366,3233477,C1CC1NC2=NC=NC3=C2C=C(C=C3)C4=COC=C4,Active,61,,,decreasing,=,7.94e-07,-6.1,1.37,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",0,-118.3,118.3,,,0 0 0 0 0 0 0,,,,-2.8,,3,,-7.5,,-35.2,,-97.1,,-112.1,,-120.1
47,4240298,3235404,COC1=CC=CC(=C1)C2=NC3=CC=CC=C3C(=N2)NCC4=CC=CC=C4,Active,55,,,decreasing,=,3.16e-06,-5.5,1.1,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-2.5,-125.3,122.8,,,0 0 0 0 0 0 0,,,,-3.5,,-2.7,,-2.6,,-19.4,,-50.9,,-102.5,,-120.1
48,4237956,3233069,COC1=CC(=C(C=C1)CNC2=NC(=NC=C2)C3=CC4=C(C=C3)OCO4)OC,Active,59,,,decreasing,=,1.26e-06,-5.9,1.1,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-3.1,-121.2,118.1,,,0 0 0 0 0 0 0,,,,3.2,,-6,,-16.9,,-27.9,,-81.1,,-112.2,,-120
49,4238141,3233252,CN(C)C1=NC=C2C(=N1)N(C(=O)C=N2)CCC3=CC=CC=C3,Active,61,,,decreasing,=,7.94e-07,-6.1,1.48,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",3.2,-118.1,121.3,,,0 0 0 0 0 0,,,,9.1,,,,-11.2,,-28.1,,-98.1,,-114.8,,-119.9
50,4238842,3233950,CN(C)C1=NC=NC2=C1C=C(C=C2)C3=CN=CC=C3,Active,67,,,decreasing,=,2e-07,-6.7,1.1,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-4.1,-119.4,115.3,,,0 0 0 0 0 0 0,,,,-3.9,,-11.2,,-40.9,,-87.2,,-111.6,,-117.5,,-119.8
51,4239737,3234844,CNC1=NC(=NC2=CC=CC=C21)C3=COC=C3,Active,64,,,decreasing,=,3.98e-07,-6.4,1.11,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",0.6,-122.1,122.7,,,0 0 0 0 0 0 0,,,,0.5,,-1.3,,-20.8,,-66.5,,-108.7,,-117.7,,-119.8
